n;T(n)
8000000;0,1075582000
8000000;0,1080755000
8000000;0,1123634000
8000000;0,1098603000
8000000;0,1110976000
8000000;0,1157192000
8000000;0,1094587000
8000000;0,1138434000
8000000;0,1093113000
8000000;0,1105278000
16000000;0,2270603000
16000000;0,2295821000
16000000;0,2257736000
16000000;0,2170472000
16000000;0,2190196000
16000000;0,2182475000
16000000;0,2186502000
16000000;0,2185358000
16000000;0,2184918000
16000000;0,2195144000
24000000;0,3270948000
24000000;0,3240958000
24000000;0,3295121000
24000000;0,3264965000
24000000;0,3284011000
24000000;0,3307369000
24000000;0,3255325000
24000000;0,3263833000
24000000;0,3267584000
24000000;0,3270835000
32000000;0,4382090000
32000000;0,4347705000
32000000;0,4344962000
32000000;0,4427516000
32000000;0,4340132000
32000000;0,4380319000
32000000;0,4340640000
32000000;0,4346494000
32000000;0,4395760000
32000000;0,4535975000
40000000;0,5480949000
40000000;0,5415516000
40000000;0,5489951000
40000000;0,5429860000
40000000;0,5442434000
40000000;0,5462473000
40000000;0,5429286000
40000000;0,5486203000
40000000;0,5458822000
40000000;0,5432539000
