n;T(n)
8000000;0,2171052000
8000000;0,2149020000
8000000;0,2277043000
8000000;0,2214901000
8000000;0,2222563000
8000000;0,2153885000
8000000;0,2162831000
8000000;0,2168384000
8000000;0,2164294000
8000000;0,2220959000
16000000;0,4377984000
16000000;0,4269309000
16000000;0,4315780000
16000000;0,4337426000
16000000;0,4303201000
16000000;0,4312680000
16000000;0,4310698000
16000000;0,4366689000
16000000;0,4309492000
16000000;0,4312403000
24000000;0,6467389000
24000000;0,6557621000
24000000;0,6592715000
24000000;0,6454267000
24000000;0,6485205000
24000000;0,6490285000
24000000;0,6455315000
24000000;0,6494038000
24000000;0,6438901000
24000000;0,6447197000
32000000;0,8653066000
32000000;0,8648766000
32000000;0,8596175000
32000000;0,8686759000
32000000;0,8644579000
32000000;0,8689254000
32000000;0,8621343000
32000000;0,8596829000
32000000;0,8592791000
32000000;0,8647325000
40000000;1,0751041000
40000000;1,0765204000
40000000;1,0880396000
40000000;1,0739316000
40000000;1,0769999000
40000000;1,0822054000
40000000;1,0788553000
40000000;1,0742907000
40000000;1,0771953000
40000000;1,0776239000
